time,decodedframes,lossframe,losspacket
1705835583855900,30,27,6
1705834532133400,17,27,9
1705833595494900,25,27,7
1705832523867600,43,25,2
1705831482753900,42,25,1
1705830477373100,43,25,0
1705829514012700,46,26,1
1705828515744400,46,25,1
1705827480146800,44,27,2
1705826493855200,46,25,1
1705825489873600,45,25,1
1705824483966200,45,26,1
1705823473662800,45,25,1
1705822478154700,46,25,1
1705821473104700,43,26,2
1705820504797700,37,24,5
1705819488637600,44,27,4
1705818480504200,45,25,5
1705817472652400,44,26,2
1705816478283800,45,25,2
1705815482388000,43,25,6
1705814508506100,40,25,3
1705813491914700,43,25,5
1705812481575000,45,25,7
1705811479266500,45,25,5
1705810473801600,42,25,3
1705809494781900,45,25,3
1705808483412800,45,25,2
1705807480753200,46,25,4
1705806475813700,44,25,5
1705805521103300,46,28,3
1705804472784600,44,25,2
1705803488587400,45,25,3
1705802484443400,44,25,4
1705801483738400,46,24,6
1705800478749600,44,27,4
1705799478073700,47,26,5
1705798490985100,41,25,4
1705797489530900,46,25,4
1705796480511800,44,25,3
1705795478452700,45,26,3
1705794478735400,46,25,5
1705793473723800,42,26,4
1705792517734400,46,25,3
1705791509457000,44,25,3
1705790514323400,47,25,3
1705789481188000,45,25,2
1705788478158500,43,26,3
1705787483831600,46,25,4
1705786474887000,45,25,5
1705785478027500,45,25,3
1705784474675900,44,25,3
1705783486799300,46,25,4
1705782477984500,45,25,4
1705781478605900,44,25,5
1705780476390900,46,25,4
1705779476927300,44,25,4
1705778474823900,46,25,4
1705777476856400,42,24,3
1705776548956500,41,27,5
1705775473395000,45,25,3
1705774473275300,44,25,3
1705773473971200,45,25,2
1705772474912400,44,25,3
1705771482361400,45,25,4
1705770475394400,46,25,4
1705769476182300,45,26,3
1705768480566100,45,25,4
1705767472558700,45,26,3
1705766480422600,43,26,3
1705765478875400,47,25,2
1705764484506200,44,25,3
1705763474013200,45,25,2
1705762475374400,45,25,2
1705761474880000,45,25,2
1705760484086800,46,26,3
1705759484083700,42,25,4
1705758474898800,44,25,2
1705757478218200,46,25,2
1705756475549100,45,25,2
1705755479668300,45,25,1
1705754475219100,45,25,5
1705753482044200,45,25,3
1705752482639500,44,25,4
1705751475950900,45,25,2
1705750475815000,45,25,3
1705749480516000,45,23,4
1705748487732100,45,28,3
1705747478188000,45,25,6
1705746481783600,45,25,4
1705745485328500,44,25,4
1705744483265900,46,25,1
1705743476613000,44,27,3
1705742475150400,42,27,9
1705741474813500,45,25,4
1705740475368000,44,25,4
1705739478162000,46,26,4
1705738485249100,45,25,3
1705737476789900,45,25,2
1705736477201600,43,26,2
1705735482800900,46,25,2
1705734478119700,45,23,2
1705733489415300,44,30,8
1705732475036600,44,25,3
1705731472664100,45,25,2
1705730477071400,43,26,3
1705729482963500,45,25,3
1705728478757800,46,25,4
1705727475258400,45,25,4
1705726476238400,45,25,3
1705725486041800,46,25,4
1705724473388000,44,25,4
1705723478896000,45,25,3
1705722475328800,44,25,5
1705721480241700,45,26,5
1705720482799400,45,25,5
1705719479452600,46,25,6
1705718487381000,45,26,4
1705717473667300,44,25,3
1705716477501800,45,23,5
1705715474523300,45,27,5
1705714474235700,45,25,5
1705713498529100,45,25,5
